Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
iontransporters_membraneproteins,balanced,3,finetuned,ESM-2,full,LR,87.00±2.00,90.00±4.00,88.00±1.00,0.77±0.03
iontransporters_membraneproteins,balanced,3,finetuned,ESM-2,full,FFNN,89.00±4.00,88.00±5.00,89.00±3.00,0.78±0.05
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-1b,half,SVM,99.00±2.00,100.00±0.00,100.00±0.00,0.99±0.01
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-1b,half,RF,98.00±2.00,100.00±0.00,100.00±0.00,0.98±0.01
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-1b,half,kNN,98.00±2.00,100.00±0.00,100.00±0.00,0.99±0.01
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-1b,half,LR,100.00±1.00,100.00±0.00,100.00±0.00,1.00±0.00
ionchannels_membraneproteins,imbalanced,na,finetuned,ESM-1b,half,FFNN,100.00±1.00,100.00±0.00,100.00±0.00,1.00±0.01
iontransporters_membraneproteins,balanced,6,finetuned,ESM-1b,full,SVM,88.00±4.00,94.00±2.00,91.00±2.00,0.82±0.04
iontransporters_membraneproteins,balanced,6,finetuned,ESM-1b,full,RF,85.00±4.00,91.00±4.00,88.00±2.00,0.76±0.04
iontransporters_membraneproteins,balanced,6,finetuned,ESM-1b,full,kNN,88.00±2.00,78.00±3.00,83.00±2.00,0.67±0.03
iontransporters_membraneproteins,balanced,6,finetuned,ESM-1b,full,LR,89.00±5.00,91.00±4.00,90.00±3.00,0.81±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ESM-1b,full,FFNN,90.00±3.00,90.00±6.00,90.00±3.00,0.80±0.07
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT-BFD,half,SVM,85.00±4.00,91.00±2.00,88.00±3.00,0.77±0.05
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT-BFD,half,RF,81.00±5.00,92.00±2.00,87.00±3.00,0.75±0.05
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT-BFD,half,kNN,93.00±4.00,68.00±5.00,79.00±3.00,0.62±0.07
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT-BFD,half,LR,85.00±5.00,88.00±4.00,87.00±4.00,0.73±0.09
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT-BFD,half,FFNN,90.00±2.00,87.00±4.00,88.00±2.00,0.77±0.05
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,half,SVM,89.00±4.00,90.00±5.00,89.00±4.00,0.79±0.08
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,half,RF,83.00±3.00,87.00±5.00,85.00±4.00,0.71±0.07
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,half,kNN,90.00±8.00,74.00±5.00,82.00±6.00,0.65±0.13
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,half,LR,91.00±3.00,89.00±7.00,90.00±4.00,0.80±0.08
iontransporters_membraneproteins,balanced,9,finetuned,ESM-2,half,FFNN,90.00±4.00,88.00±8.00,89.00±5.00,0.78±0.11
iontransporters_membraneproteins,balanced,9,frozen,ESM-1b,full,SVM,88.00±3.00,92.00±4.00,90.00±3.00,0.80±0.06
iontransporters_membraneproteins,balanced,9,frozen,ESM-1b,full,RF,86.00±6.00,89.00±6.00,87.00±6.00,0.74±0.12
iontransporters_membraneproteins,balanced,9,frozen,ESM-1b,full,kNN,88.00±5.00,81.00±5.00,84.00±5.00,0.69±0.10
iontransporters_membraneproteins,balanced,9,frozen,ESM-1b,full,LR,88.00±2.00,89.00±5.00,89.00±4.00,0.78±0.07
iontransporters_membraneproteins,balanced,9,frozen,ESM-1b,full,FFNN,90.00±2.00,87.00±6.00,88.00±4.00,0.77±0.08
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,full,SVM,88.00±4.00,92.00±2.00,90.00±2.00,0.81±0.05
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,full,RF,83.00±2.00,92.00±4.00,87.00±2.00,0.75±0.05
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,full,kNN,86.00±1.00,74.00±5.00,80.00±3.00,0.60±0.06
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,full,LR,90.00±3.00,92.00±2.00,91.00±2.00,0.82±0.03
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,full,FFNN,90.00±4.00,91.00±2.00,91.00±2.00,0.82±0.05
iontransporters_membraneproteins,balanced,3,frozen,ESM-1b,full,SVM,89.00±4.00,92.00±1.00,90.00±2.00,0.81±0.04
iontransporters_membraneproteins,balanced,3,frozen,ESM-1b,full,RF,85.00±5.00,89.00±5.00,87.00±3.00,0.75±0.06
iontransporters_membraneproteins,balanced,3,frozen,ESM-1b,full,kNN,86.00±4.00,81.00±4.00,84.00±3.00,0.68±0.05
iontransporters_membraneproteins,balanced,3,frozen,ESM-1b,full,LR,88.00±4.00,91.00±5.00,89.00±4.00,0.79±0.07
