Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
ionchannels_iontransporters,na,na,frozen,ProtBERT,half,CNN,89.00±4.00,95.00±3.00,92.00±0.00,0.84±0.00
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT,half,CNN,88.00±3.00,86.00±3.00,87.00±1.00,0.74±0.02
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT,full,CNN,79.00±12.00,94.00±3.00,87.00±4.00,0.75±0.06
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,full,CNN,89.00±4.00,90.00±7.00,89.00±2.00,0.79±0.04
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,half,CNN,89.00±3.00,92.00±2.00,90.00±2.00,0.81±0.04
ionchannels_membraneproteins,imbalanced,na,finetuned,ProtBERT,full,CNN,85.00±6.00,100.00±1.00,99.00±1.00,0.88±0.05
iontransporters_membraneproteins,balanced,1,frozen,ProtT5,half,CNN,93.00±2.00,93.00±2.00,93.00±1.00,0.86±0.02
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,full,CNN,89.00±2.00,93.00±3.00,91.00±2.00,0.82±0.04
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT,half,CNN,89.00±3.00,89.00±1.00,89.00±1.00,0.78±0.03
ionchannels_membraneproteins,balanced,7,frozen,ProtBERT-BFD,full,CNN,79.00±11.00,91.00±8.00,85.00±3.00,0.72±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,half,CNN,88.00±2.00,94.00±5.00,91.00±2.00,0.82±0.05
iontransporters_membraneproteins,balanced,4,frozen,ESM-2,full,CNN,91.00±2.00,92.00±3.00,91.00±2.00,0.83±0.04
ionchannels_membraneproteins,balanced,9,frozen,ProtBERT-BFD,full,CNN,83.00±10.00,80.00±19.00,81.00±6.00,0.65±0.07
ionchannels_membraneproteins,balanced,7,finetuned,ESM-2,half,CNN,86.00±7.00,97.00±3.00,92.00±2.00,0.84±0.04
ionchannels_membraneproteins,balanced,9,finetuned,ESM-1b,half,CNN,86.00±4.00,91.00±6.00,89.00±4.00,0.78±0.07
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,full,CNN,87.00±4.00,95.00±4.00,91.00±2.00,0.82±0.04
iontransporters_membraneproteins,balanced,7,frozen,ESM-1b,half,CNN,91.00±4.00,91.00±3.00,91.00±2.00,0.82±0.04
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,half,CNN,88.00±3.00,88.00±3.00,88.00±1.00,0.76±0.03
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,half,CNN,85.00±8.00,86.00±12.00,85.00±4.00,0.72±0.07
ionchannels_membraneproteins,balanced,6,frozen,ESM-2_15B,half,CNN,90.00±6.00,89.00±15.00,90.00±6.00,0.81±0.10
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,full,CNN,48.00±19.00,100.00±0.00,96.00±1.00,0.64±0.14
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT-BFD,full,CNN,81.00±12.00,90.00±13.00,86.00±4.00,0.73±0.08
ionchannels_membraneproteins,balanced,4,frozen,ProtBERT,half,CNN,79.00±9.00,92.00±4.00,86.00±4.00,0.72±0.07
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,CNN,91.00±7.00,82.00±13.00,86.00±6.00,0.74±0.09
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,CNN,85.00±3.00,89.00±5.00,87.00±3.00,0.74±0.05
